,ASESOR_ID,PORC_CR_202404,ctes8a30_sin_exp_T0,cr8a30_sin_exp_T0,cr31a90_sin_exp_T0,empeora_T0,PORC_CR_202403,se_mantiene_atraso_T1,mejora_T0,PORC_CR_202401,AVG_ATRASO_ACT_EXP_T1,PORC_CR_202402,TOTAL_CUENTAS_T1,empeora_T1,TOTAL_CARTERA_T1,cr90m_sin_exp_T0,cr31a90_sin_exp_T2,TOTAL_CARTERA_T0,AVG_ATRASO_ACT_EXP_T2,se_mantiene_0_ctas_T0,mejora_ctas_T0,ctes31a90_sin_exp_T0,TOTAL_CUENTAS_T0,empeora_ctas_T1,se_mantiene_0_T0,ctes31a90_sin_exp_T2,cr31a90_sin_exp_T1,AVG_ATRASO_ACT_EXP_T0,ctes31a90_sin_exp_T1,empeora_ctas_T0
0,22360497,0.019584447306995597,0,0.0,130300.82,69731.41,0.01402075301656955,0.0,162401.31,0.02411942887343094,3.5714285714285716,0.014604649109460044,3,101343.87,101343.87,14199.44,101343.87,395193.15,3.5542168674698793,3,6,5,14.0,3,79575.84,3.0,95775.28,3.1379310344827585,4,3.0
1,7424293,0.020434460334898895,1,21482.93,149294.28,235304.16999999998,0.044779006218036016,0.0,346354.36,0.04065110747827546,1.1526717557251909,0.0031002898189690224,5,59819.55,78907.06,55561.6,26752.370000000003,888521.6699999999,0.5,6,12,5,23.0,4,258789.94999999998,2.0,167698.58,2.298507462686567,6,4.0
2,43243791,0.0022040798064418125,1,7314.84,16207.130000000001,63595.8,0.007296897261518835,0.0,54795.84,0.016041037158638225,2.3592233009708736,0.01974680590432952,9,182568.8,182568.8,21473.87,36894.47,244884.81999999998,1.2058823529411764,1,4,3,14.0,9,3314.44,2.0,24788.309999999998,1.8773584905660377,2,4.0
3,36712207,0.005672643382652509,4,91094.04000000001,30815.62,128617.83,0.027233906141830702,15099.8,126436.63,0.03032298486059591,3.253846153846154,0.023056054813341855,18,366529.41,426811.03,97802.21,106592.92,364871.97,2.355371900826446,1,6,1,15.0,14,41908.27,4.0,140492.62,3.0970149253731343,6,6.0
4,1957365,0.019525517016457855,2,64858.39,91374.23,201782.46000000002,0.015490455176682499,0.0,158434.54,0.011758278989620662,2.0547945205479454,0.01730325664524986,10,328089.29000000004,328089.29000000004,50047.119999999995,92945.65,435779.59,1.6054421768707483,2,9,6,23.0,10,32664.06,4.0,63663.729999999996,2.3533333333333335,3,10.0
5,34852844,0.006809766332353784,1,44466.21,53567.86,52763.43,0.0031655423383764687,0.0,81634.86,0.016722665908280678,2.303030303030303,0.018462746701383446,7,211986.06999999998,211986.06999999998,24610.25,78016.41,257268.52000000002,2.3461538461538463,0,4,3,11.0,7,0.0,4.0,24610.25,1.4388489208633093,1,2.0
6,72532462,0.0297103253839327,1,16433.51,130563.03,67479.16,0.042870123575621796,19047.46,287077.67000000004,0.02514625978826026,3.9393939393939394,0.023682038603132005,11,216779.69,249336.93999999997,67479.16,83208.56999999999,442449.61,3.1752577319587627,3,12,6,21.0,9,47461.68,4.0,163489.09,5.490566037735849,8,4.0
7,21138914,0.018801073347498927,2,72276.56,180066.47999999998,151261.46,0.033832675814168184,0.0,417339.01,0.03290590691291927,2.1867469879518073,0.0248988505889621,14,326683.76,347940.20999999996,104133.28,119721.37,818126.3899999999,2.861635220125786,5,16,6,31.0,13,163338.16999999998,5.0,270572.31,3.735294117647059,10,6.0
8,79761908,0.0,0,0.0,0.0,65539.7,0.029382703602714333,0.0,82550.43000000001,0.05892732861972213,5.84,0.04375560159373839,5,95869.27,125351.48000000001,65539.7,95869.27,204786.96999999997,4.617021276595745,0,4,0,9.0,4,0.0,4.0,65539.7,4.3090909090909095,3,3.0
9,13231917,0.04043040617788156,4,67668.76000000001,344086.84,295770.85,0.08226847849763703,24687.03,705899.5408000004,0.028432379287052268,5.352941176470588,0.027453892587490127,32,756475.0276000004,1171988.4132,221062.94,241023.21000000002,1452678.494800001,3.675392670157068,8,20,10,44.48000000000002,22,303439.5668000001,9.0,393548.2732,6.464864864864865,12,11.0
10,74358306,0.004475502043344655,0,0.0,0.0,0.0,0.005767220557204902,0.0,126657.22,0.012120165316892704,1.3982300884955752,0.01755907572553545,7,120489.47,256853.69,0.0,76847.73000000001,203504.95,1.5043478260869565,0,3,0,5.0,3,0.0,2.0,0.0,0.09166666666666666,0,0.0
11,87633648,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0
12,30808228,0.0,0,0.0,0.0,25623.8,0.007471557546444283,0.0,25623.8,0.0,0.7547169811320755,0.011565866271159643,4,154604.41,154604.40999999997,25623.8,37235.95,51247.6,1.1090909090909091,0,1,0,2.0,4,0.0,2.0,25623.8,1.2727272727272727,1,1.0
13,87999246,0.030818741220142144,3,86390.95,59037.009999999995,0.0,0.0,65404.16,29323.21,0.0,0.0,0.0,6,20986.79,123841.51000000001,0.0,0.0,59037.009999999995,0.0,0,2,3,3.0,1,0.0,0.0,0.0,3.111111111111111,0,0.0
14,75030255,0.010043214920610513,1,26282.25,32128.4,4568.0,0.0015837369299795613,0.0,50206.19,0.025946125731644815,2.7349397590361444,0.018942287724906595,7,113140.16,145414.28000000003,4568.0,54729.51,109503.70000000001,2.275,0,4,2,7.0,5,0.0,2.0,4568.0,1.9390243902439024,1,1.0
15,85633266,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,4373.0,0.0,0.0,0.0,0.10256410256410256,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0
16,77233375,0.008494187089467264,1,26968.78,30257.649999999998,52865.41,0.019013025959218076,0.0,61735.69,0.0,1.6101694915254237,0.0,10,26968.78,507705.73,26319.65,0.0,118312.99,0.20754716981132076,1,3,2,6.0,1,3711.89,0.0,61735.69,2.463768115942029,3,2.0
17,26847497,0.04015086441319175,0,0.0,234210.79,304704.09,0.010623064440611533,0.0,139360.44,0.023405073547130038,2.435483870967742,0.020903065603907246,7,164743.61,183419.65,22757.83,87730.72,647936.03,1.3361344537815125,2,5,6,18.0,5,61885.72,4.0,43095.240000000005,1.8372093023255813,2,7.0
18,87046432,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0
19,74287316,0.015241519445708646,1,38292.48,123889.26999999999,3790.83,0.0,0.0,193931.45,0.01688785522917761,0.9504132231404959,0.004272755336032647,4,188097.37,188097.37,0.0,29706.45,227428.73,2.3675213675213675,0,5,3,7.0,4,0.0,1.0,0.0,0.8939393939393939,0,1.0
20,78284741,0.02410201295210074,2,54389.87,67466.54000000001,0.0,0.012900337477469742,97836.22,164129.96,0.05855903513824607,0.7777777777777778,0.0,12,77791.18000000001,306023.62,0.0,0.0,223061.07,4.142857142857143,1,6,3,8.0,3,32835.29,0.0,32835.29,1.6777777777777778,1,0.0
21,77435054,0.005731304912630943,1,40071.02,15228.17,40521.38,0.01558353409718047,0.0,34275.68,0.0,1.1612903225806452,0.007480309634191942,9,118735.36,288302.93,40521.38,19047.51,96270.93,0.3488372093023256,1,2,1,5.0,4,21473.87,1.0,40521.38,1.9504950495049505,2,2.0
22,82436653,0.027375082480887495,1,13894.91,48940.15,69331.88,0.0631111246066979,0.0,84395.59,0.0,2.2666666666666666,0.0,3,31787.7,54388.05,34818.81,0.0,175333.79,0.0975609756097561,1,3,2,6.0,2,21606.32,0.0,91574.82999999999,2.25,3,2.0
23,77516257,0.01121186922834769,1,24769.0,62113.33,0.0,0.0037263038855713227,0.0,104387.73,0.05586362884078914,4.936708860759493,0.04521095165643679,13,412293.63,696883.22,0.0,239554.36000000002,489348.88,2.91025641025641,1,4,2,11.0,8,30210.5,3.0,30210.5,1.3012048192771084,1,0.0
24,72762213,0.030464914905628488,1,28269.0,126860.76999999999,19674.2,0.04722496460076821,0.0,319253.18,0.0868688568540903,7.410714285714286,0.07704042562493295,8,361754.10000000003,361754.10000000003,26328.81,323129.09,702754.0900000001,7.052631578947368,3,6,4,15.0,8,108377.42,6.0,177968.94,4.333333333333333,4,1.0
25,74988144,0.0,0,0.0,0.0,0.0,0.0,0.0,10575.7,0.011500155106471368,0.8157894736842105,0.014399123641148837,3,37124.8,544792.53,7047.99,37124.8,28718.940000000002,2.1267605633802815,0,1,0,3.0,2,0.0,2.0,0.0,0.7906976744186046,0,0.0
